Stock #,Shape,Size,Color,Clarity,Cut Grade,Polish,Symmetry,Cash Price,Cash Discount %,Certificate #,Certificate Filename,Cert Comment,Country,Crown Angle,Crown Height,Culet Size,,Depth %,Diamond Image,Display Cert Number,Eye Clean,Sarine Name,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Fluorescence Color,Fluorescence Intensity,Girdle %,Girdle Condition,Girdle Thick,Girdle Thin,Lab,Measurements,Member Comments,Pair Stock #,Parcel Stones,Pavilion Angle,Pavilion Depth,RapNet Discount %,RapNet Price,Shape,State,Star Length,Table %,Trade Show,BGM,Full List Price,Second Site,,,,,,
RBC,43.5,EX,D,VS1,ISRAEL,,1.5,,,2131315861,2131315861.pdf,Additional pinpoints are not shown.   K.T.S:Crystal, Feather, Cloud, Indented Natural, N,,35.5,14.5,NON,VG,62.6,https://segoma.com/v.php?type=inner&id=IRA1WW6KKK,Y,,,        ,,,,NON,0,Faceted,THK,MED,GIA,7.25 x  7.21 x  4.53,,,41,43.5,-0.33,10720,,55,AZ102-13,VG,60,HK-March2019,,0,,,
AZ102-60,RBC,1.01,D,VS1,EX,EX,VG,,,2131619123,2131619123.pdf,Pinpoints are not shown.,ISRAEL,36.5,16,NON,,63.3,https://segoma.com/v.php?type=inner&id=BXQ6A0ARZZ,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,6.42 x  6.30 x  4.03,,,,41.2,43.5,-0.3,8540,RBC,,50,57,HK-March2019,,0,,,,,,,
AZ102-7,RBC,1.01,D,VS1,EX,EX,VG,,,2148374439,2148374439.pdf,An additional pinpoint is not shown.,ISRAEL,36,15,NON,,62,https://segoma.com/v.php?type=inner&id=FI66GRSJOO,Y,,,        ,,,,FNT,0,Faceted,,STK,GIA,6.40 x  6.36 x  3.96,,,,40.8,43,-0.32,8296,RBC,,55,59,HK-March2019,,0,,,,,,,
AZ104-84,RBC,1.02,D,SI1,EX,EX,EX,,,D88801980IL,,,ISRAEL,0,0,,,63.1,,Y,,,        ,,,,NONE,0,,,,IGL,6.28 x  6.35 x  3.98,,,,    ,0,-0.54,3956,RBC,,0,57,HK-March2019,,0,,,,,,,
0,6370,BG,E,VVS1,NON,0,AZ111-54,,,1273785898,1273785898.pdf,K.T.S:Pinpoint, Cavity,ISRAEL,0,0,,,65.7,,Y,,,        ,,,,NON,0,,,STK,GIA,8.70 x  4.19 x  2.75,,AZ122-87,,    ,EX,-0.35,6370,1.02,,EX,69,HK-March2019,,0,,,,,,
,-0.45,4125,E,VS1,0,    ,0,,,1275110196,1275110196.pdf,K.T.S:Feather, Pinpoint, Extra Facet,ISRAEL,0,,NON,,56,,Y,,,        ,,,Blue,MED,0,Faceted,ETK,VTK,GIA,9.10 x  5.55 x  3.11,,AZ100-46,,0,VG,-0.45,PS,1.01,AZ112-87,F,53,HK-March2019,,0,,,,,
AZ113-18,PS,1.02,D,VS2,,VG,VG,,,2151386592,2151386592.pdf,K.T.S:,ISRAEL,0,0,NON,,65,https://segoma.com/v.aspx?type=view&id=647JOCFO3W,Y,,,        ,,,,NON,0,Faceted,VTK,MED,GIA,9.17 x  5.42 x  3.53,,,,    ,0,-0.35,4875,PS,,0,51,HK-March2019,,0,,,,,,,
1.04,VG,-0.31,E,VS2,32.5,,,,,7276877951,7276877951.pdf,Additional pinpoints are not shown. Surface graini   K.T.S:Feather, Twinning Wisp, Cloud, Pinpoint,ISRAEL,,13,NON,EX,60.1,https://segoma.com/v.aspx?type=view&id=LLV6LDPBQR,Y,,,        ,,,,FNT,0,Faceted,STK,MED,GIA,6.57 x  6.54 x  3.94,,,40.8,43,VG,6624,RBC,45,AZ113-45,EX,59,HK-March2019,,0,,,,
,-0.4,5880,E,VS2,0,    ,0,,,1313419438,1313419438.pdf,Pinpoints are not shown.   K.T.S:Crystal, Feather, Needle,ISRAEL,0,,NON,,63.6,https://segoma.com/v.aspx?type=view&id=R30KNWEXVS,Y,,,        ,,,,NON,0,,THK,THN,GIA,8.22 x  5.65 x  3.59,,,,0,EX,-0.4,EM,1.57,AZ113-56,VG,64,HK-March2019,,0,,,,,
RBC,44.5,EX,G,SI1,ISRAEL,,11.29,,,2151874585,2151874585.pdf,Clouds are not shown.Pinpoints are not shown.   K.T.S:Crystal, Feather, Knot, Needle, Indented Nat,,31.5,12.5,NON,EX,60.2,https://segoma.com/v.php?type=view&id=7NP4V21UOO,Y,,,        ,,,,FNT,0,Faceted,MED,THN,GIA,14.67 x 14.58 x  8.80,,,41.8,44.5,     ,35000,,50,AZ1134-1,EX,59,HK-March2019,,0,,,
RBC,44,EX,E,SI2,ISRAEL,,1.02,,,6271456241,6271456241.pdf,Additional clouds are not shown. Pinpoints are not   K.T.S:Feather, Crystal, Cloud, Needle, Indented Na,,34.5,13.5,NON,VG,62.3,https://segoma.com/v.aspx?type=view&id=KZ8YD9T6TC,Y,,,        ,,,,NON,0,Faceted,THK,MED,GIA,6.39 x  6.37 x  3.97,,,41.4,44,-0.32,4556,,50,AZ115-10,VG,61,HK-March2019,,0,,,
4623,    ,0,E,SI2, Indented Na,,RAD,,,2304544326,2304544326.pdf,Additional clouds, pinpoints and manufacturing rem   K.T.S:Crystal, Feather, Cavity, Cloud,,ISRAEL,0,0,NON,,67,,Y,,,        ,,,,NON,0,,VTK,MED,GIA,7.36 x  6.84 x  4.58,,,    ,VG,-0.33,1.9,,0,AZ115-48,G,64,HK-March2019,,0,,
AZ120-52,HS,1.07,F,VVS1,,EX,EX,,,5191531700,5191531700.pdf,Clarity grade is based on internal graining that i   K.T.S:,ISRAEL,0,0,NON,,56.5,,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,6.16 x  7.31 x  4.13,,AZ123-45,,    ,0,-0.3,5950,HS,,0,60,HK-March2019,,0,,,,,,,
